name,year,coal,gas,oil,tradition,nuclear,clean
CO,2006,805.7,"1,298.2",142.1,2246.0,0.0,44.0
CO,2007,815.5,"1,339.4",151.9,2306.8,0.0,52.3
CO,2008,714.7,"1,497.9",173.7,2386.3,0.0,80.1
CO,2009,614.6,"1,626.7",176.1,2417.4,0.0,80.1
CO,2010,551.8,"1,737.9",191.3,2481.0,0.0,80.2
CO,2011,586.8,"1,831.2",228.9,2646.9,0.0,102.6
CO,2012,629.6,"1,902.2",287.5,2819.3,0.0,102.2
CO,2013,529.1,"1,804.7",379.5,2713.3,0.0,117.0
CO,2014,528.2,"1,853.0",555.6,2936.8,0.0,125.7
CO,2015,403.6,"1,988.1",721.7,3113.4,0.0,119.9
CT,2006,0.0,0.0,0.0,0.0,173.1,198.7
CT,2007,0.0,0.0,0.0,0.0,171.9,195.8
CT,2008,0.0,0.0,0.0,0.0,161.3,187.6
CT,2009,0.0,0.0,0.0,0.0,174.2,203.6
CT,2010,0.0,0.0,0.0,0.0,175.1,202.6
CT,2011,0.0,0.0,0.0,0.0,166.7,194.9
CT,2012,0.0,0.0,0.0,0.0,179.0,204.1
CT,2013,0.0,0.0,0.0,0.0,178.5,205.9
CT,2014,0.0,0.0,0.0,0.0,165.7,196.0
CT,2015,0.0,0.0,0.0,0.0,182.1,210.1
DE,2006,0.0,0.0,0.0,0.0,0.0,0.9
DE,2007,0.0,0.0,0.0,0.0,0.0,1.5
DE,2008,0.0,0.0,0.0,0.0,0.0,3.0
DE,2009,0.0,0.0,0.0,0.0,0.0,3.6
DE,2010,0.0,0.0,0.0,0.0,0.0,3.6
DE,2011,0.0,0.0,0.0,0.0,0.0,4.0
DE,2012,0.0,0.0,0.0,0.0,0.0,3.5
DE,2013,0.0,0.0,0.0,0.0,0.0,3.8
DE,2014,0.0,0.0,0.0,0.0,0.0,4.2
DE,2015,0.0,0.0,0.0,0.0,0.0,3.8
FL,2006,0.0,3.5,13.7,17.2,327.9,530.7
FL,2007,0.0,2.1,12.1,14.2,307.2,511.8
FL,2008,0.0,2.5,11.3,13.8,335.9,545.0
FL,2009,0.0,0.3,4.0,4.3,304.5,522.5
FL,2010,0.0,12.6,10.3,22.9,250.2,496.6
FL,2011,0.0,15.4,11.7,27.1,230.4,480.4
FL,2012,0.0,0.8,12.4,13.2,187.3,420.4
FL,2013,0.0,0.3,12.6,12.9,277.2,519.7
FL,2014,0.0,0.9,12.9,13.8,291.5,532.1
FL,2015,0.0,0.9,12.6,13.5,294.1,541.8
GA,2006,0.0,0.0,0.0,0.0,0.1,541.2
GA,2007,0.0,0.0,0.0,0.0,0.1,541.9
GA,2008,0.0,0.0,0.0,0.0,3.5,504.3
GA,2009,0.0,0.0,0.0,0.0,13.8,525.6
GA,2010,0.0,0.0,0.0,0.0,14.4,561.7
GA,2011,0.0,0.0,0.0,0.0,14.1,549.4
GA,2012,0.0,0.0,0.0,0.0,10.0,555.2
GA,2013,0.0,0.0,0.0,0.0,8.2,581.1
GA,2014,0.0,0.0,0.0,0.0,14.2,598.2
GA,2015,0.0,0.0,0.0,0.0,15.5,622.1
HI,2006,0.0,0.0,0.0,0.0,0.0,14.0
HI,2007,0.0,0.0,0.0,0.0,0.0,15.0
HI,2008,0.0,0.0,0.0,0.0,0.0,15.9
HI,2009,0.0,0.0,0.0,0.0,0.0,15.8
HI,2010,0.0,0.0,0.0,0.0,0.0,15.2
HI,2011,0.0,0.0,0.0,0.0,0.0,16.5
HI,2012,0.0,0.0,0.0,0.0,0.0,18.1
HI,2013,0.0,0.0,0.0,0.0,0.0,22.4
HI,2014,0.0,0.0,0.0,0.0,0.0,24.1
HI,2015,0.0,0.0,0.0,0.0,0.0,24.9
ID,2006,0.0,0.0,0.0,0.0,0.0,146.5
